# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr  4 08:09:49 2016
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Significant Secondary False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1361,9164836,K00213.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,48.118814675,170.8396148,1.0724,5.28967,7.2830e+04,45.50,490.0,13.60,872.70,1,q1_q17_dr24_tce,6003.00,4.536,0.8720,295.712250,45.589771,14.474
1362,7887791,K01964.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.229324792,133.0942100,0.3950,1.97370,5.2300e+01,0.72,1362.0,814.43,40.20,1,q1_q17_dr24_tce,5547.00,4.388,0.9890,290.703700,43.607208,10.687
1363,11657891,K01965.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.514624320,132.9101600,0.3688,1.60930,2.4020e+02,1.31,1223.0,528.37,32.20,1,q1_q17_dr24_tce,5679.00,4.555,0.8410,289.593080,49.781158,14.325
1364,6305192,K00219.01,,CANDIDATE,CANDIDATE,0,0,0,0,8.025118213,132.4691250,0.2240,5.31890,3.2479e+03,4.02,760.0,79.04,533.40,1,q1_q17_dr24_tce,5513.00,4.630,0.7040,297.214080,41.664040,14.153
1365,6382217,K02036.02,Kepler-353 b,CONFIRMED,CANDIDATE,0,0,0,0,5.795297100,136.7833600,0.7051,2.28600,3.6910e+02,1.08,549.0,21.42,14.00,2,q1_q17_dr24_tce,3903.00,4.735,0.5230,296.856630,41.758179,15.773
1366,9634821,K02037.01,,CANDIDATE,CANDIDATE,0,0,0,0,73.757931700,183.7225900,0.3544,2.75390,2.1332e+03,4.23,375.0,4.66,39.60,1,q1_q17_dr24_tce,5029.00,4.429,0.9300,284.342740,46.316551,15.213
1367,9634821,K02037.03,,CANDIDATE,CANDIDATE,0,0,0,0,8.562664840,355.1362800,0.0482,1.45670,6.3270e+02,2.27,768.0,82.22,25.10,3,q1_q17_dr24_tce,5029.00,4.429,0.9300,284.342740,46.316551,15.213
1368,8950568,K02038.01,Kepler-85 b,CONFIRMED,CANDIDATE,0,0,0,0,8.305374900,139.7384700,0.9129,3.87860,4.0220e+02,2.12,831.0,112.98,31.10,1,q1_q17_dr24_tce,5695.00,4.545,0.8720,290.973420,45.290321,14.779
1369,3326377,K01830.01,,CANDIDATE,CANDIDATE,0,0,0,0,13.227133790,142.2033400,0.3397,3.29280,8.8600e+02,1.86,581.0,27.00,61.40,1,q1_q17_dr24_tce,5080.00,4.633,0.6280,286.558070,38.405369,14.443
1370,11601584,K01831.01,Kepler-324 c,CONFIRMED,CANDIDATE,0,0,0,0,51.809669500,182.9741200,0.9389,7.54300,1.0039e+03,3.25,413.0,6.89,57.80,1,q1_q17_dr24_tce,5355.00,4.581,0.8030,286.471470,49.649021,14.122
1371,11601584,K01831.02,Kepler-324 b,CONFIRMED,CANDIDATE,0,0,0,0,4.385364610,139.2254700,0.1365,2.49870,1.9590e+02,1.11,941.0,185.34,25.40,2,q1_q17_dr24_tce,5355.00,4.581,0.8030,286.471470,49.649021,14.122
1372,11601584,K01831.03,,CANDIDATE,CANDIDATE,0,0,0,0,34.206939500,148.8022000,0.1985,4.48700,2.0380e+02,1.13,474.0,11.98,9.20,4,q1_q17_dr24_tce,5355.00,4.581,0.8030,286.471470,49.649021,14.122
1373,11601584,K01831.04,,CANDIDATE,CANDIDATE,0,0,0,0,13.979465610,142.3374700,0.3451,1.14800,3.5480e+02,1.52,639.0,39.51,16.50,3,q1_q17_dr24_tce,5355.00,4.581,0.8030,286.471470,49.649021,14.122
1374,8689793,K01893.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.554856915,131.8039700,0.0393,2.10260,2.4030e+02,1.30,1155.0,421.09,41.00,1,q1_q17_dr24_tce,6068.00,4.568,0.8290,292.020450,44.876221,14.053
1375,11673802,K01894.01,,CANDIDATE,CANDIDATE,0,0,0,0,5.287897870,135.3635300,0.4636,8.52800,3.4840e+02,7.09,1662.0,1805.27,93.50,1,q1_q17_dr24_tce,4992.00,3.428,3.7900,297.359280,49.797550,13.427
1376,4263293,K01895.01,Kepler-331 b,CONFIRMED,CANDIDATE,0,0,0,0,8.457474830,133.8707000,0.1084,2.26210,1.5176e+03,1.99,538.0,19.88,39.50,1,q1_q17_dr24_tce,4345.00,4.733,0.5210,291.834320,39.307362,15.862
1377,4263293,K01895.02,Kepler-331 c,CONFIRMED,CANDIDATE,0,0,0,0,17.281152100,136.0081400,0.2371,2.73850,1.5990e+03,2.05,424.0,7.66,32.50,2,q1_q17_dr24_tce,4345.00,4.733,0.5210,291.834320,39.307362,15.862
1378,4263293,K01895.03,Kepler-331 d,CONFIRMED,CANDIDATE,0,0,0,0,32.134073700,142.2733300,0.5062,2.69600,1.3160e+03,1.92,345.0,3.35,19.40,3,q1_q17_dr24_tce,4345.00,4.733,0.5210,291.834320,39.307362,15.862
1379,5695524,K01897.01,,CANDIDATE,CANDIDATE,0,0,0,0,59.771143700,148.9696300,0.7411,4.49350,5.6600e+02,2.88,522.0,17.53,38.50,1,q1_q17_dr24_tce,6214.00,4.382,1.1220,288.574430,40.988659,13.952
1380,6205897,K01967.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.417696479,133.9611700,0.1179,1.91610,2.9140e+02,1.20,852.0,124.59,35.70,1,q1_q17_dr24_tce,4911.00,4.564,0.7240,292.132970,41.547539,14.310
1381,7948784,K01968.01,,CANDIDATE,CANDIDATE,0,0,0,0,10.087460350,135.1349900,0.5693,2.69340,6.1140e+02,2.92,955.0,197.01,39.60,1,q1_q17_dr24_tce,6343.00,4.411,1.1370,287.361270,43.738781,15.079
1382,9244756,K01969.01,,CANDIDATE,CANDIDATE,0,0,0,0,16.343564470,145.0397500,0.4966,5.30720,8.9260e+02,2.50,646.0,41.06,42.30,1,q1_q17_dr24_tce,5637.00,4.564,0.8210,300.417510,45.605518,15.017
1383,9650808,K01970.01,Kepler-344 b,CONFIRMED,CANDIDATE,0,0,0,0,21.963990840,133.0361100,0.0328,2.71770,7.7230e+02,2.64,643.0,40.41,28.00,1,q1_q17_dr24_tce,5774.00,4.447,0.9580,292.499630,46.324409,15.378
1384,9650808,K01970.02,Kepler-344 c,CONFIRMED,CANDIDATE,0,0,0,0,125.602302000,215.4327900,0.6967,7.44900,9.7610e+02,3.19,360.0,3.95,22.00,2,q1_q17_dr24_tce,5774.00,4.447,0.9580,292.499630,46.324409,15.378
1385,8950568,K02038.02,Kepler-85 c,CONFIRMED,CANDIDATE,0,0,0,0,12.513667540,139.4162800,0.6443,4.57200,4.4100e+02,1.92,725.0,65.43,32.00,2,q1_q17_dr24_tce,5695.00,4.545,0.8720,290.973420,45.290321,14.779
1386,8950568,K02038.03,Kepler-85 d,CONFIRMED,CANDIDATE,0,0,0,0,17.913373900,135.5271200,0.3181,4.39500,2.1040e+02,1.27,644.0,40.59,12.60,3,q1_q16_tce,5695.00,4.545,0.8720,290.973420,45.290321,14.779
1387,8950568,K02038.04,Kepler-85 e,CONFIRMED,CANDIDATE,0,0,0,0,25.215287500,152.7021000,0.0722,4.53800,1.9480e+02,1.21,574.0,25.73,9.90,3,q1_q17_dr24_tce,5695.00,4.545,0.8720,290.973420,45.290321,14.779
1388,8804845,K02039.01,,CANDIDATE,CANDIDATE,0,0,0,0,5.425872280,135.8651800,0.2351,2.50950,2.6020e+02,1.33,931.0,177.66,33.30,1,q1_q17_dr24_tce,5614.00,4.561,0.8270,285.387420,45.049049,14.305
1389,10480915,K02040.01,,CANDIDATE,CANDIDATE,0,0,0,0,19.585572190,132.3662100,0.9917,1.92800,5.7590e+02,3.72,668.0,47.07,26.70,1,q1_q17_dr24_tce,5971.00,4.502,0.8890,295.792180,47.600101,14.180
1390,11709244,K01832.01,Kepler-325 b,CONFIRMED,CANDIDATE,0,0,0,0,4.544437773,134.9008910,0.0294,1.74050,9.0720e+02,2.94,1105.0,352.71,55.30,1,q1_q17_dr24_tce,5749.00,4.404,0.9820,289.835420,49.825630,15.009
1391,11709244,K01832.02,Kepler-325 c,CONFIRMED,CANDIDATE,0,0,0,0,12.762249470,143.7281200,0.9454,1.99700,7.1200e+02,3.33,783.0,89.04,24.20,2,q1_q17_dr24_tce,5749.00,4.404,0.9820,289.835420,49.825630,15.009
1392,11709244,K01832.03,Kepler-325 d,CONFIRMED,CANDIDATE,0,0,0,0,38.714683300,134.0365000,0.5636,3.46600,8.7950e+02,3.01,541.0,20.26,23.20,3,q1_q17_dr24_tce,5749.00,4.404,0.9820,289.835420,49.825630,15.009
1393,10019708,K00199.02,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,8.784845540,135.3581300,0.8423,6.28300,1.8930e+02,1.82,1023.0,259.36,21.50,2,q1_q17_dr24_tce,6418.00,4.395,1.1710,295.025670,46.956001,14.879
1394,11853878,K01833.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.692983728,132.7369520,0.2074,1.72910,7.9000e+02,1.61,748.0,73.98,69.30,1,q1_q17_dr24_tce,4397.00,4.671,0.5770,285.602540,50.112041,14.265
1395,5728139,K00206.01,Kepler-433 b,CONFIRMED,CANDIDATE,0,0,0,0,5.334083460,131.9815210,0.0162,6.25211,5.1061e+03,7.93,1149.0,412.27,823.90,1,q1_q17_dr24_tce,6057.00,4.352,1.1100,297.593660,40.977268,14.463
1396,7668663,K01898.01,,CANDIDATE,CANDIDATE,0,0,0,0,6.498015250,136.0012500,0.1732,2.31670,1.9450e+02,1.52,1027.0,262.88,42.80,1,q1_q17_dr24_tce,5718.00,4.320,1.0990,286.286010,43.320461,13.250
1397,7047922,K01899.01,,CANDIDATE,CANDIDATE,0,0,0,0,19.761720420,135.1764200,0.6317,3.59060,3.9590e+02,2.46,791.0,92.38,32.60,1,q1_q17_dr24_tce,6327.00,4.327,1.1750,295.754120,42.537479,14.563
1398,9353314,K01900.01,,CANDIDATE,CANDIDATE,0,0,0,0,5.185002073,131.8794200,0.0759,2.17710,4.4720e+02,1.17,652.0,42.62,41.00,1,q1_q17_dr24_tce,4325.00,4.680,0.5600,295.906560,45.809120,14.744
1399,3629967,K01901.01,,CANDIDATE,CANDIDATE,0,0,0,0,85.653584900,155.1274300,0.0491,6.87700,4.8870e+02,2.21,430.0,8.08,39.50,1,q1_q17_dr24_tce,6092.00,4.471,0.9980,286.402310,38.738541,13.340
1400,9347009,K01971.01,,CANDIDATE,CANDIDATE,0,0,0,0,19.329524160,133.2682100,0.4757,3.77010,1.0401e+03,2.52,534.0,19.16,32.40,1,q1_q17_dr24_tce,5023.00,4.592,0.7800,293.681920,45.817558,15.719
1401,11253711,K01972.01,,CANDIDATE,CANDIDATE,0,0,0,0,17.791067090,149.2547000,0.6693,2.62040,4.0380e+02,2.11,725.0,65.48,39.70,1,q1_q17_dr24_tce,6095.00,4.471,0.9910,296.089750,48.955372,13.800
1402,4917596,K01973.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.290117953,133.1566600,0.1670,1.54690,7.0690e+02,1.53,802.0,97.96,33.80,1,q1_q17_dr24_tce,4484.00,4.654,0.5940,289.930850,40.097752,15.753
1403,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,2.086076093,170.9653570,0.9104,2.28810,4.7513e+03,7.70,1502.0,1203.00,402.20,1,q1_q17_dr24_tce,6129.00,4.425,0.9290,290.815400,39.819469,12.963
1404,11046458,K00214.01,Kepler-424 b,CONFIRMED,CANDIDATE,0,0,0,0,3.311864499,131.7426698,0.8976,1.39440,6.2064e+03,9.13,1158.0,424.48,439.30,1,q1_q17_dr24_tce,5523.00,4.437,0.9460,298.624880,48.577450,14.256
1405,9111849,K02042.01,,CANDIDATE,CANDIDATE,0,0,0,0,63.073604300,191.2452400,0.6623,5.25400,6.8880e+02,6.67,766.0,81.23,25.20,1,q1_q17_dr24_tce,6628.00,3.835,2.4030,298.750180,45.466400,13.089
1406,7132798,K00220.01,Kepler-119 b,CONFIRMED,CANDIDATE,0,0,0,0,2.422084448,132.9401110,0.1065,2.56327,1.9156e+03,3.60,1214.0,513.44,430.60,1,q1_q17_dr24_tce,5588.00,4.559,0.8320,295.946410,42.658920,14.236
1407,3448130,K02043.01,,CANDIDATE,CANDIDATE,0,0,0,0,78.546163800,144.0696200,0.0390,8.68400,7.3170e+02,2.63,434.0,8.39,38.30,1,q1_q17_dr24_tce,6032.00,4.485,0.9730,292.587800,38.522030,14.087
1408,9656252,K02044.01,,CANDIDATE,CANDIDATE,0,0,0,0,16.923441130,145.8121100,0.0060,4.06180,1.2878e+03,3.63,735.0,68.98,41.40,1,q1_q17_dr24_tce,6063.00,4.476,1.0120,294.648160,46.392361,15.818
1409,6026438,K02045.01,Kepler-354 b,CONFIRMED,CANDIDATE,0,0,0,0,5.476653680,135.7046700,0.6684,2.48570,7.1920e+02,2.00,740.0,71.00,32.20,1,q1_q17_dr24_tce,4650.00,4.589,0.7060,285.751460,41.335640,15.549
1410,9471268,K01835.01,Kepler-326 c,CONFIRMED,CANDIDATE,0,0,0,0,4.580338622,134.0765900,0.0852,2.11290,3.2140e+02,2.79,1258.0,591.98,53.50,2,q1_q17_dr24_tce,5192.00,4.004,1.5930,294.325530,46.002251,13.693
1411,9471268,K01835.02,Kepler-326 b,CONFIRMED,CANDIDATE,0,0,0,0,2.248288538,133.4265480,0.0425,1.99580,2.6910e+02,2.55,1594.0,1524.71,61.00,1,q1_q17_dr24_tce,5192.00,4.004,1.5930,294.325530,46.002251,13.693
1412,9471268,K01835.03,Kepler-326 d,CONFIRMED,CANDIDATE,0,0,0,0,6.766898110,136.6182100,0.1242,1.65620,2.4220e+02,2.43,1104.0,351.72,29.40,3,q1_q17_dr24_tce,5192.00,4.004,1.5930,294.325530,46.002251,13.693
1413,10657406,K01837.01,,CANDIDATE,CANDIDATE,0,0,0,0,34.173171400,137.7914000,0.2011,4.47510,6.3090e+02,2.35,522.0,17.55,62.20,1,q1_q17_dr24_tce,5346.00,4.403,0.9520,288.372500,47.933559,13.733
1414,5526527,K01838.01,,CANDIDATE,CANDIDATE,0,0,0,0,16.736522310,143.1324200,0.8187,1.99470,1.2892e+03,2.94,510.0,15.95,46.10,1,q1_q17_dr24_tce,4608.00,4.575,0.7160,289.625240,40.708729,14.786
1415,5809954,K01902.01,,CANDIDATE,CANDIDATE,0,0,0,0,137.864538300,172.8111300,1.5526,1.96600,2.3800e+03,30.13,176.0,0.23,28.10,1,q1_q17_dr24_tce,3763.00,4.785,0.4570,296.876830,41.080582,14.645
1416,8766650,K01904.01,,CANDIDATE,CANDIDATE,0,0,0,0,12.439311930,136.3778100,0.1154,3.12100,2.8210e+02,2.83,927.0,174.46,44.70,1,q1_q17_dr24_tce,5108.00,3.924,1.7260,296.547520,44.941929,13.395
1417,10328393,K01905.01,Kepler-332 b,CONFIRMED,CANDIDATE,0,0,0,0,7.626340630,136.0165300,0.0436,2.41650,2.9950e+02,1.45,792.0,93.25,32.90,1,q1_q17_dr24_tce,5141.00,4.472,0.8610,286.662960,47.413700,14.017
1418,11773328,K01906.01,,CANDIDATE,CANDIDATE,0,0,0,0,8.710435285,134.6151070,1.4351,1.06930,1.2606e+03,41.82,760.0,78.81,42.10,1,q1_q17_dr24_tce,5417.00,4.576,0.8090,296.623470,49.979172,14.816
1419,7094486,K01907.01,,CANDIDATE,CANDIDATE,0,0,0,0,11.350119170,134.0454300,0.6929,2.37580,1.2973e+03,2.08,445.0,9.26,39.00,1,q1_q17_dr24_tce,3901.00,4.711,0.5420,282.859920,42.665760,15.278
1420,7289577,K01974.01,,CANDIDATE,CANDIDATE,0,0,0,0,109.444966600,197.9842100,0.8418,4.15320,1.3364e+03,3.21,328.0,2.74,31.60,1,q1_q17_dr24_tce,5508.00,4.589,0.7710,294.083920,42.809589,14.937
1421,8543100,K01975.01,,CANDIDATE,CANDIDATE,0,0,0,0,7.560528060,134.4789000,0.2632,3.82620,7.4720e+02,2.57,914.0,164.90,34.80,1,q1_q17_dr24_tce,5895.00,4.503,0.9400,283.845150,44.609089,15.986
1422,2693736,K01976.01,,CANDIDATE,CANDIDATE,0,0,0,0,12.124009430,134.9555600,0.0809,3.31360,8.4680e+02,2.27,663.0,45.70,38.70,1,q1_q17_dr24_tce,5280.00,4.570,0.7960,286.115360,37.966999,15.090
1423,9412760,K01977.01,Kepler-345 c,CONFIRMED,CANDIDATE,0,0,0,0,9.387428890,137.3814700,0.1620,1.46590,3.9590e+02,1.22,564.0,23.88,31.50,1,q1_q17_dr24_tce,4386.00,4.629,0.6300,295.228790,45.971020,14.028
1424,9412760,K01977.02,Kepler-345 b,CONFIRMED,CANDIDATE,0,0,0,0,7.415578590,137.8139100,0.0157,2.07600,1.6690e+02,0.79,610.0,32.70,19.20,2,q1_q17_dr24_tce,4386.00,4.629,0.6300,295.228790,45.971020,14.028
1425,6026438,K02045.02,Kepler-354 d,CONFIRMED,CANDIDATE,0,0,0,0,24.210217100,141.4709500,0.4147,4.41400,4.4440e+02,1.47,451.0,9.80,12.90,2,q1_q17_dr24_tce,4650.00,4.589,0.7060,285.751460,41.335640,15.549
1426,10663396,K02046.01,,CANDIDATE,CANDIDATE,0,0,0,0,23.899029600,151.3996400,0.5170,15.72200,2.6910e+02,2.02,693.0,54.65,63.70,1,q1_q17_dr24_tce,5790.00,4.283,1.2030,290.979340,47.988998,13.153
1427,11457726,K02047.01,,CANDIDATE,CANDIDATE,0,0,0,0,6.221614700,131.9914300,0.1424,3.26060,1.7140e+02,1.79,1276.0,626.21,31.00,1,q1_q17_dr24_tce,6616.00,4.263,1.3530,293.195370,49.316502,13.977
1428,8956206,K02048.01,,CANDIDATE,CANDIDATE,0,0,0,0,6.179984400,132.7224300,0.5705,2.10590,8.1120e+02,1.47,661.0,45.12,34.00,1,q1_q17_dr24_tce,4932.00,4.777,0.4920,293.058010,45.248821,15.801
1429,9649706,K02049.01,,CANDIDATE,CANDIDATE,0,0,0,0,1.569066502,133.0404800,0.1190,2.78350,1.5110e+02,1.40,1777.0,2355.10,48.70,1,q1_q17_dr24_tce,6343.00,4.411,1.1370,292.044370,46.329029,13.930
1430,5856571,K01839.01,,CANDIDATE,CANDIDATE,0,0,0,0,9.590707160,132.6811700,0.7517,3.48470,5.5480e+02,4.28,1086.0,329.34,47.50,1,q1_q17_dr24_tce,5476.00,3.904,1.6730,284.094570,41.182819,13.237
1431,7765528,K01840.01,,CANDIDATE,CANDIDATE,0,0,0,0,7.039325530,133.8538500,0.9490,3.44800,9.0050e+02,4.29,1063.0,301.70,49.50,1,q1_q17_dr24_tce,6137.00,4.357,1.1300,295.828700,43.425491,14.915
1432,11760231,K01841.01,,CANDIDATE,CANDIDATE,0,0,0,0,49.607733100,138.4141500,0.0037,2.84240,6.4380e+02,1.84,406.0,6.42,32.30,1,q1_q17_dr24_tce,5180.00,4.544,0.7420,290.165250,49.923859,13.218
1433,7779077,K01842.01,,CANDIDATE,CANDIDATE,0,0,0,0,16.841922040,137.9923100,0.0848,2.57510,8.7850e+02,2.95,699.0,56.43,52.40,1,q1_q17_dr24_tce,5602.00,4.404,1.0090,299.250310,43.410439,14.306
1434,6046540,K00200.01,Kepler-74 b,CONFIRMED,CANDIDATE,0,0,0,0,7.340714746,134.3457121,0.5537,2.99360,8.6795e+03,14.41,1155.0,421.03,950.30,1,q1_q17_dr24_tce,6056.00,4.191,1.4980,293.092530,41.355518,14.412
1435,5706966,K01908.01,Kepler-333 b,CONFIRMED,CANDIDATE,0,0,0,0,12.551093330,137.2639100,0.6955,3.20210,5.5450e+02,1.46,470.0,11.52,37.50,1,q1_q17_dr24_tce,4159.00,4.680,0.5830,292.286070,40.913589,14.731
1436,3762468,K00208.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.003876581,134.7112710,0.0570,3.25850,9.5322e+03,11.42,1433.0,995.65,341.60,1,q1_q17_dr24_tce,6299.00,4.401,1.1670,295.307530,38.881641,14.996
1437,5706966,K01908.02,Kepler-333 c,CONFIRMED,CANDIDATE,0,0,0,0,24.088256800,134.4253200,0.6040,3.97000,3.9920e+02,1.20,378.0,4.83,22.30,2,q1_q17_dr24_tce,4159.00,4.680,0.5830,292.286070,40.913589,14.731
1438,10130039,K01909.01,Kepler-334 c,CONFIRMED,CANDIDATE,0,0,0,0,12.758028110,133.9572300,0.0939,4.14840,1.9140e+02,1.37,791.0,92.52,46.90,1,q1_q17_dr24_tce,5827.00,4.421,0.9990,287.140660,47.115189,12.776
1439,10130039,K01909.02,Kepler-334 b,CONFIRMED,CANDIDATE,0,0,0,0,5.470336940,131.4938500,0.1548,3.06170,1.0650e+02,1.03,1049.0,286.03,34.70,2,q1_q17_dr24_tce,5827.00,4.421,0.9990,287.140660,47.115189,12.776
1440,9518318,K01978.01,Kepler-346 b,CONFIRMED,CANDIDATE,0,0,0,0,6.511119850,131.7070400,0.3789,1.59050,7.1290e+02,2.71,1008.0,243.67,37.70,1,q1_q17_dr24_tce,6032.00,4.465,1.0010,288.011900,46.117611,15.214
1441,9518318,K01978.02,Kepler-346 c,CONFIRMED,CANDIDATE,0,0,0,0,23.851630320,147.6150000,0.7843,2.42780,8.9950e+02,3.30,654.0,43.19,29.50,2,q1_q17_dr24_tce,6032.00,4.465,1.0010,288.011900,46.117611,15.214
1442,7273277,K01979.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.714077555,133.7120300,0.0953,1.26180,1.4970e+02,1.00,1228.0,537.57,39.80,1,q1_q17_dr24_tce,5709.00,4.478,0.8180,289.042210,42.882488,12.987
1443,11769890,K01980.01,,CANDIDATE,CANDIDATE,0,0,0,0,122.880805800,165.4570100,0.9160,8.28100,7.5130e+02,2.91,336.0,3.01,43.40,1,q1_q17_dr24_tce,5650.00,4.546,0.8700,295.181640,49.945782,13.800
1444,6862721,K01982.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.887535260,132.7070800,0.0507,1.99130,7.2900e+02,2.50,995.0,231.29,44.70,1,q1_q17_dr24_tce,5553.00,4.507,0.9430,291.711460,42.341499,15.768
1445,12301181,K02059.01,,CANDIDATE,CANDIDATE,0,0,0,0,6.147279180,134.8740900,0.1590,2.76270,1.2580e+02,0.81,770.0,83.12,27.90,1,q1_q17_dr24_tce,4996.00,4.598,0.7460,287.590090,51.060570,12.906
1446,9279354,K02060.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.800118124,132.0467860,0.0237,0.96540,8.1380e+02,1.97,956.0,197.81,35.00,1,q1_q17_dr24_tce,4786.00,4.579,0.7040,291.224330,45.778091,15.229
1447,6774880,K02062.01,,CANDIDATE,CANDIDATE,0,0,0,0,34.351187400,134.1897800,0.7297,4.22200,6.4340e+02,2.64,576.0,26.10,28.00,1,q1_q17_dr24_tce,6091.00,4.487,0.9670,291.033630,42.267860,14.998
1448,3937519,K00221.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.413036221,132.4430880,0.0139,2.60753,4.1757e+03,4.55,986.0,223.72,487.20,1,q1_q17_dr24_tce,5332.00,4.614,0.7140,285.930690,39.098141,14.622
1449,7449541,K02063.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.007252420,131.9027200,0.8793,4.33600,3.1140e+02,1.61,1125.0,378.75,29.70,1,q1_q17_dr24_tce,5674.00,4.582,0.7820,293.200590,43.050041,15.620
1450,5080636,K01843.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.194496514,134.1342900,0.8237,1.84820,7.4500e+02,1.44,534.0,19.17,53.20,1,q1_q17_dr24_tce,3584.00,4.799,0.4500,285.013090,40.220749,14.404
1451,5080636,K01843.02,,CANDIDATE,CANDIDATE,0,0,0,0,6.355822840,137.5019600,0.5065,1.52500,2.0060e+02,0.63,465.0,11.02,11.00,2,q1_q16_tce,3584.00,4.799,0.4500,285.013090,40.220749,14.404
1452,3338885,K01845.01,,CANDIDATE,CANDIDATE,0,0,0,0,1.970342457,131.9477620,0.4202,1.73810,4.0950e+02,3.35,1598.0,1540.07,56.30,1,q1_q17_dr24_tce,4883.00,3.972,1.6670,290.548550,38.495281,14.438
1453,3338885,K01845.02,,CANDIDATE,CANDIDATE,0,0,0,0,5.058213203,135.7022460,0.9263,1.01160,7.6250e+02,5.99,1168.0,439.80,45.30,2,q1_q17_dr24_tce,4883.00,3.972,1.6670,290.548550,38.495281,14.438
1454,6776401,K01847.01,,CANDIDATE,CANDIDATE,0,0,0,0,26.853283220,143.3111600,0.4229,4.50630,1.0036e+03,2.76,544.0,20.77,52.40,1,q1_q17_dr24_tce,5329.00,4.455,0.8690,291.516200,42.248192,14.812
1455,10130039,K01909.03,Kepler-334 d,CONFIRMED,CANDIDATE,0,0,0,0,25.098527830,145.5667800,0.0327,2.78650,1.9670e+02,1.39,631.0,37.55,29.00,3,q1_q17_dr24_tce,5827.00,4.421,0.9990,287.140660,47.115189,12.776
1456,8226050,K01910.01,,CANDIDATE,CANDIDATE,0,0,0,0,34.268570500,147.0522200,0.6260,4.81840,7.4960e+02,2.47,498.0,14.56,39.10,1,q1_q17_dr24_tce,5325.00,4.471,0.8660,289.192630,44.149319,14.685
1457,9965957,K01911.01,,CANDIDATE,CANDIDATE,0,0,0,0,5.753221974,136.7561900,0.8398,1.68280,8.1510e+02,3.05,920.0,169.44,35.50,1,q1_q17_dr24_tce,5445.00,4.510,0.9290,297.401550,46.824001,15.196
1458,9704384,K01913.01,,CANDIDATE,CANDIDATE,0,0,0,0,5.508604390,132.2984800,0.1798,2.94680,2.1210e+02,1.29,931.0,177.78,45.50,1,q1_q17_dr24_tce,5451.00,4.505,0.8970,289.296260,46.457951,13.317
1459,8426567,K01914.01,,CANDIDATE,CANDIDATE,0,0,0,0,18.930549590,143.2523600,0.7017,3.34400,7.2010e+02,4.70,766.0,81.42,44.80,1,q1_q17_dr24_tce,5015.00,3.987,1.6430,290.248050,44.435242,14.417
1460,12508335,K00215.01,,CANDIDATE,CANDIDATE,0,0,0,0,42.943866740,155.2065450,1.4366,3.76730,9.7509e+03,56.74,520.0,17.26,277.60,1,q1_q17_dr24_tce,5750.00,4.400,0.9400,290.165130,51.467258,14.708
